Experiment: 0
Latency: 200
Source: (0.75, -0.75, -0.50)
SourceSize: 0.4000
Target: (-0.75, 0.00, -0.75)
TargetSize: 0.2000

Trace:
time; position; button;
2.7629; (0.71, -0.72, -0.55); True;
2.7629; (0.71, -0.72, -0.55); True;
2.7742; (0.71, -0.72, -0.55); True;
2.7742; (0.71, -0.72, -0.55); True;
2.7800; (0.71, -0.72, -0.55); True;
2.7848; (0.71, -0.72, -0.55); True;
2.7848; (0.71, -0.72, -0.55); True;
2.7959; (0.71, -0.72, -0.55); True;
2.7959; (0.71, -0.72, -0.55); True;
2.8000; (0.71, -0.72, -0.55); True;
2.8180; (0.71, -0.72, -0.55); True;
2.8180; (0.71, -0.72, -0.55); True;
2.8200; (0.71, -0.72, -0.55); True;
2.8290; (0.71, -0.72, -0.55); True;
2.8290; (0.71, -0.72, -0.55); True;
2.8400; (0.71, -0.72, -0.55); True;
2.8401; (0.71, -0.72, -0.55); True;
2.8401; (0.72, -0.72, -0.55); True;
2.8509; (0.72, -0.72, -0.55); True;
2.8509; (0.71, -0.72, -0.55); True;
2.8600; (0.72, -0.72, -0.55); True;
2.8627; (0.72, -0.72, -0.55); True;
2.8627; (0.71, -0.72, -0.55); True;
2.8736; (0.71, -0.72, -0.55); False;
2.8736; (0.71, -0.72, -0.55); False;
2.8800; (0.71, -0.72, -0.55); False;
2.8848; (0.71, -0.72, -0.55); False;
2.8848; (0.71, -0.72, -0.55); False;
2.8956; (0.71, -0.72, -0.55); False;
2.8956; (0.71, -0.72, -0.55); False;
2.9000; (0.71, -0.72, -0.55); False;
2.9069; (0.71, -0.72, -0.55); False;
2.9069; (0.72, -0.72, -0.55); False;
2.9186; (0.72, -0.72, -0.55); False;
2.9186; (0.72, -0.72, -0.55); False;
2.9200; (0.72, -0.72, -0.55); False;
2.9289; (0.72, -0.72, -0.55); False;
2.9289; (0.72, -0.72, -0.55); False;
2.9400; (0.72, -0.72, -0.55); False;
2.9519; (0.72, -0.72, -0.55); False;
2.9519; (0.72, -0.72, -0.55); False;
2.9600; (0.72, -0.72, -0.55); False;
2.9628; (0.72, -0.72, -0.55); False;
2.9628; (0.72, -0.72, -0.55); False;
2.9741; (0.72, -0.72, -0.56); False;
2.9741; (0.72, -0.72, -0.56); False;
2.9800; (0.72, -0.72, -0.56); False;
2.9849; (0.72, -0.72, -0.56); False;
2.9849; (0.72, -0.72, -0.56); False;
2.9959; (0.72, -0.72, -0.56); False;
2.9959; (0.72, -0.72, -0.56); False;
3.0000; (0.72, -0.72, -0.56); False;
3.0069; (0.72, -0.72, -0.56); False;
3.0069; (0.73, -0.72, -0.56); False;
3.0184; (0.73, -0.72, -0.56); False;
3.0184; (0.72, -0.72, -0.55); False;
3.0200; (0.72, -0.72, -0.55); False;
3.0289; (0.72, -0.71, -0.55); False;
3.0289; (0.72, -0.71, -0.55); False;
3.0399; (0.72, -0.71, -0.55); False;
3.0399; (0.71, -0.70, -0.55); False;
3.0400; (0.71, -0.70, -0.55); False;
3.0508; (0.71, -0.70, -0.55); False;
3.0508; (0.71, -0.69, -0.55); False;
3.0600; (0.71, -0.69, -0.55); False;
3.0630; (0.71, -0.69, -0.55); False;
3.0630; (0.71, -0.68, -0.55); False;
3.0738; (0.70, -0.68, -0.55); False;
3.0738; (0.70, -0.67, -0.56); False;
3.0800; (0.69, -0.67, -0.56); False;
3.0850; (0.69, -0.67, -0.56); False;
3.0850; (0.68, -0.66, -0.56); False;
3.0960; (0.68, -0.65, -0.56); False;
3.0960; (0.67, -0.65, -0.56); False;
3.1000; (0.66, -0.64, -0.56); False;
3.1071; (0.66, -0.64, -0.56); False;
3.1071; (0.64, -0.63, -0.56); False;
3.1179; (0.63, -0.62, -0.57); False;
3.1179; (0.62, -0.61, -0.57); False;
3.1200; (0.60, -0.60, -0.57); False;
3.1291; (0.60, -0.60, -0.57); False;
3.1291; (0.58, -0.59, -0.57); False;
3.1400; (0.56, -0.58, -0.57); False;
3.1511; (0.55, -0.57, -0.57); False;
3.1511; (0.53, -0.55, -0.57); False;
3.1600; (0.53, -0.55, -0.57); False;
3.1623; (0.47, -0.53, -0.58); False;
3.1623; (0.44, -0.51, -0.58); False;
3.1741; (0.44, -0.51, -0.58); False;
3.1741; (0.43, -0.51, -0.58); False;
3.1800; (0.39, -0.49, -0.59); False;
3.1851; (0.39, -0.49, -0.59); False;
3.1851; (0.39, -0.49, -0.59); False;
3.1959; (0.36, -0.47, -0.59); False;
3.1959; (0.33, -0.47, -0.59); False;
3.2000; (0.30, -0.46, -0.60); False;
3.2069; (0.30, -0.46, -0.60); False;
3.2069; (0.28, -0.45, -0.60); False;
3.2177; (0.25, -0.43, -0.61); False;
3.2177; (0.24, -0.43, -0.60); False;
3.2200; (0.20, -0.41, -0.61); False;
3.2295; (0.20, -0.41, -0.61); False;
3.2295; (0.19, -0.40, -0.61); False;
3.2400; (0.14, -0.38, -0.62); False;
3.2403; (0.13, -0.38, -0.62); False;
3.2403; (0.09, -0.36, -0.63); False;
3.2515; (0.09, -0.36, -0.63); False;
3.2515; (0.08, -0.35, -0.63); False;
3.2600; (0.04, -0.33, -0.64); False;
3.2627; (0.03, -0.33, -0.64); False;
3.2627; (-0.01, -0.31, -0.65); False;
3.2800; (-0.01, -0.31, -0.65); False;
3.2851; (-0.01, -0.31, -0.65); False;
3.2851; (-0.06, -0.29, -0.66); False;
3.2964; (-0.06, -0.29, -0.66); False;
3.2964; (-0.06, -0.28, -0.66); False;
3.3000; (-0.10, -0.26, -0.67); False;
3.3074; (-0.10, -0.26, -0.66); False;
3.3074; (-0.15, -0.24, -0.68); False;
3.3179; (-0.15, -0.24, -0.68); False;
3.3179; (-0.15, -0.24, -0.68); False;
3.3200; (-0.19, -0.22, -0.69); False;
3.3289; (-0.18, -0.22, -0.68); False;
3.3289; (-0.22, -0.20, -0.69); False;
3.3400; (-0.22, -0.20, -0.69); False;
3.3403; (-0.22, -0.20, -0.69); False;
3.3403; (-0.26, -0.18, -0.70); False;
3.3516; (-0.25, -0.19, -0.69); False;
3.3516; (-0.29, -0.17, -0.71); False;
3.3600; (-0.29, -0.17, -0.71); False;
3.3620; (-0.32, -0.16, -0.71); False;
3.3620; (-0.36, -0.15, -0.72); False;
3.3736; (-0.36, -0.15, -0.72); False;
3.3736; (-0.35, -0.15, -0.71); False;
3.3800; (-0.38, -0.14, -0.72); False;
3.3845; (-0.38, -0.14, -0.72); False;
3.3845; (-0.38, -0.15, -0.72); False;
3.3955; (-0.41, -0.14, -0.73); False;
3.3955; (-0.40, -0.14, -0.72); False;
3.4000; (-0.44, -0.13, -0.73); False;
3.4067; (-0.44, -0.13, -0.73); False;
3.4067; (-0.43, -0.14, -0.73); False;
3.4177; (-0.45, -0.13, -0.73); False;
3.4177; (-0.45, -0.14, -0.73); False;
3.4200; (-0.47, -0.13, -0.73); False;
3.4287; (-0.47, -0.13, -0.73); False;
3.4287; (-0.47, -0.13, -0.73); False;
3.4397; (-0.50, -0.12, -0.74); False;
3.4397; (-0.48, -0.13, -0.73); False;
3.4400; (-0.51, -0.12, -0.73); False;
3.4515; (-0.51, -0.12, -0.73); False;
3.4515; (-0.50, -0.12, -0.73); False;
3.4600; (-0.52, -0.12, -0.73); False;
