Experiment: 1
Latency: 200
Source: (0.75, -0.60, -0.50)
SourceSize: 0.1000
Target: (-0.75, 0.00, 0.50)
TargetSize: 0.5000

Trace:
time; position; button;
6.1508; (0.74, -0.60, -0.50); True;
6.1508; (0.74, -0.60, -0.50); True;
6.1600; (0.74, -0.60, -0.50); True;
6.1630; (0.74, -0.60, -0.50); True;
6.1630; (0.74, -0.60, -0.50); True;
6.1735; (0.74, -0.60, -0.50); True;
6.1735; (0.74, -0.61, -0.50); True;
6.1800; (0.74, -0.61, -0.50); True;
6.1846; (0.74, -0.61, -0.50); True;
6.1846; (0.74, -0.61, -0.50); True;
6.1959; (0.74, -0.60, -0.50); True;
6.1959; (0.74, -0.60, -0.50); True;
6.2000; (0.74, -0.60, -0.50); True;
6.2072; (0.74, -0.60, -0.50); True;
6.2072; (0.74, -0.60, -0.50); True;
6.2181; (0.74, -0.60, -0.50); True;
6.2181; (0.74, -0.60, -0.50); True;
6.2200; (0.74, -0.60, -0.50); True;
6.2287; (0.74, -0.60, -0.50); True;
6.2287; (0.74, -0.60, -0.50); True;
6.2400; (0.74, -0.60, -0.50); False;
6.2402; (0.74, -0.60, -0.50); False;
6.2402; (0.74, -0.60, -0.50); False;
6.2514; (0.74, -0.60, -0.50); False;
6.2514; (0.74, -0.60, -0.51); False;
6.2600; (0.74, -0.60, -0.51); False;
6.2630; (0.74, -0.60, -0.51); False;
6.2630; (0.74, -0.60, -0.51); False;
6.2739; (0.74, -0.60, -0.51); False;
6.2739; (0.74, -0.60, -0.51); False;
6.2800; (0.74, -0.60, -0.51); False;
6.2847; (0.74, -0.60, -0.51); False;
6.2847; (0.74, -0.60, -0.51); False;
6.2957; (0.74, -0.60, -0.51); False;
6.2957; (0.74, -0.60, -0.51); False;
6.3000; (0.74, -0.60, -0.51); False;
6.3072; (0.74, -0.60, -0.51); False;
6.3072; (0.74, -0.60, -0.51); False;
6.3183; (0.74, -0.60, -0.51); False;
6.3183; (0.74, -0.60, -0.51); False;
6.3200; (0.74, -0.60, -0.51); False;
6.3292; (0.74, -0.60, -0.51); False;
6.3292; (0.74, -0.60, -0.52); False;
6.3400; (0.74, -0.60, -0.52); False;
6.3402; (0.74, -0.60, -0.52); False;
6.3402; (0.74, -0.60, -0.52); False;
6.3510; (0.74, -0.60, -0.52); False;
6.3510; (0.74, -0.60, -0.52); False;
6.3600; (0.74, -0.60, -0.52); False;
6.3621; (0.75, -0.60, -0.52); False;
6.3621; (0.75, -0.60, -0.52); False;
6.3736; (0.75, -0.60, -0.52); False;
6.3736; (0.75, -0.60, -0.52); False;
6.3800; (0.75, -0.60, -0.52); False;
6.3956; (0.74, -0.60, -0.52); False;
6.3956; (0.75, -0.60, -0.52); False;
6.4000; (0.74, -0.60, -0.52); False;
6.4072; (0.74, -0.60, -0.52); False;
6.4072; (0.74, -0.60, -0.52); False;
6.4179; (0.74, -0.60, -0.52); False;
6.4179; (0.74, -0.60, -0.52); False;
6.4200; (0.74, -0.60, -0.52); False;
6.4292; (0.74, -0.60, -0.52); False;
6.4292; (0.74, -0.60, -0.52); False;
6.4400; (0.74, -0.60, -0.52); False;
6.4400; (0.74, -0.59, -0.52); False;
6.4400; (0.74, -0.59, -0.52); False;
6.4510; (0.74, -0.59, -0.52); False;
6.4510; (0.74, -0.59, -0.52); False;
6.4600; (0.74, -0.59, -0.52); False;
6.4619; (0.74, -0.59, -0.52); False;
6.4619; (0.74, -0.59, -0.52); False;
6.4739; (0.74, -0.59, -0.52); False;
6.4739; (0.74, -0.58, -0.52); False;
6.4800; (0.73, -0.58, -0.52); False;
6.4849; (0.73, -0.58, -0.52); False;
6.4849; (0.73, -0.58, -0.52); False;
6.4958; (0.73, -0.58, -0.52); False;
6.4958; (0.73, -0.57, -0.52); False;
6.5000; (0.72, -0.57, -0.52); False;
6.5071; (0.71, -0.56, -0.52); False;
6.5071; (0.71, -0.56, -0.52); False;
6.5200; (0.69, -0.55, -0.52); False;
6.5290; (0.68, -0.55, -0.52); False;
6.5290; (0.67, -0.54, -0.52); False;
